,Event_Number,Ini_E[MeV],Ini_X[cm],Ini_Y[cm],Ini_Z[cm],Ini_Theta,Ini_Phi,Number_of_hits
385,3,-6.3,6.05,-96.9,429.732,,,finHit
386,4,-6.3,18.15,-13.2,8.033,,,finHit
387,4,6.3,18.15,-13.2,786.553,,,finHit
388,87,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
389,1,6.3,6.05,-187.3,108.189,,,finHit
390,3,-6.3,6.05,-96.9,428.417,,,finHit
391,4,-6.3,6.05,-13.2,750.205,,,finHit
392,88,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
393,1,6.3,6.05,-187.3,115.734,,,finHit
394,4,-6.3,-6.05,-13.2,697.041,,,finHit
395,89,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
396,1,6.3,6.05,-187.3,117.521,,,finHit
397,2,-6.3,6.05,-134.8,304.217,,,finHit
398,3,-6.3,6.05,-96.9,444.667,,,finHit
399,4,-6.3,6.05,-13.2,726.637,,,finHit
400,90,100.0,1.0,1.0,-220.0,0.0,0.0,5.0
401,1,6.3,6.05,-187.3,116.117,,,finHit
402,2,6.3,6.05,-134.8,313.179,,,finHit
403,3,18.9,-6.05,-96.9,482.354,,,finHit
404,4,31.5,-6.05,-13.2,877.916,,,finHit
405,4,6.3,6.05,-13.2,756.809,,,finHit
406,91,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
407,1,6.3,6.05,-187.3,111.913,,,finHit
408,3,-6.3,-6.05,-96.9,41.996,,,finHit
409,4,-6.3,-6.05,-13.2,751.798,,,finHit
410,92,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
411,1,6.3,6.05,-187.3,112.355,,,finHit
412,2,6.3,6.05,-134.8,296.715,,,finHit
413,4,18.9,-6.05,-13.2,801.731,,,finHit
414,4,18.9,6.05,-13.2,797.045,,,finHit
415,93,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
416,1,6.3,6.05,-187.3,113.018,,,finHit
417,2,6.3,-6.05,-134.8,302.569,,,finHit
418,3,6.3,-6.05,-96.9,445.994,,,finHit
419,4,6.3,-6.05,-13.2,732.635,,,finHit
420,94,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
421,1,6.3,6.05,-187.3,113.771,,,finHit
422,2,6.3,6.05,-134.8,289.216,,,finHit
423,3,-6.3,6.05,-96.9,429.085,,,finHit
424,4,-18.9,6.05,-13.2,761.104,,,finHit
425,95,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
426,1,6.3,6.05,-187.3,11.453,,,finHit
427,3,-6.3,6.05,-96.9,44.691,,,finHit
428,96,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
429,1,6.3,6.05,-187.3,105.386,,,finHit
430,2,-6.3,-6.05,-134.8,292.137,,,finHit
431,3,-6.3,-6.05,-96.9,446.256,,,finHit
432,4,-18.9,-6.05,-13.2,759.391,,,finHit
433,97,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
434,1,6.3,6.05,-187.3,121.929,,,finHit
435,2,6.3,6.05,-134.8,285.243,,,finHit
436,3,-6.3,6.05,-96.9,418.955,,,finHit
437,4,6.3,6.05,-13.2,717.851,,,finHit
438,98,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
439,1,6.3,6.05,-187.3,113.214,,,finHit
440,2,6.3,6.05,-134.8,305.308,,,finHit
441,3,6.3,6.05,-96.9,456.667,,,finHit
442,4,6.3,18.15,-13.2,771.779,,,finHit
443,99,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
444,1,6.3,6.05,-187.3,112.957,,,finHit
445,2,-6.3,-6.05,-134.8,292.118,,,finHit
446,3,-6.3,-6.05,-96.9,417.832,,,finHit
447,4,-6.3,-18.15,-13.2,783.458,,,finHit
448,100,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
449,1,6.3,6.05,-187.3,112.116,,,finHit
450,2,6.3,-6.05,-134.8,296.371,,,finHit
451,3,6.3,-6.05,-96.9,434.625,,,finHit
452,1,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
453,1,6.3,6.05,-187.3,116.614,,,finHit
454,2,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
455,1,6.3,6.05,-187.3,100.586,,,finHit
456,3,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
457,1,6.3,6.05,-187.3,105.426,,,finHit
458,4,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
459,1,6.3,6.05,-187.3,110.828,,,finHit
460,5,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
461,1,6.3,6.05,-187.3,11.411,,,finHit
462,6,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
463,1,6.3,6.05,-187.3,108.729,,,finHit
464,7,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
465,1,6.3,6.05,-187.3,116.462,,,finHit
466,8,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
467,1,6.3,6.05,-187.3,115.169,,,finHit
